feature,importance_gain,importance_split,rank,importance_pct
OZONE_rolling_mean_3,44711508988.30759,104859,1,58.719795580074894
OZONE_lag_1,12334732815.247702,71916,2,16.19925173260413
OZONE_rolling_max_3,10336930907.425426,63816,3,13.575530854217195
OZONE_rolling_min_3,5506204100.007691,67467,4,7.231318881659161
OZONE_diff_1,1512966660.7193797,100462,5,1.9869848959949696
OZONE_velocity,738624514.1917305,37108,6,0.9700383964923356
OZONE_lag_2,218509664.5543472,73523,7,0.28696957730183903
OZONE_lag_3,105997077.24712858,34526,8,0.13920636652331408
OZONE_above_site_median,94072297.62016925,1782,9,0.12354550787916485
OZONE_rolling_range_3,84656276.95093955,26958,10,0.11117941195921908
OZONE_rolling_std_3,83103946.93891259,62546,11,0.10914073102355942
OZONE_rolling_max_6,66244921.60580933,26192,12,0.08699970864164855
OZONE_rolling_min_6,55867067.09482896,24643,13,0.07337043266252909
OZONE_site_p90,54023398.587764286,29346,14,0.0709491357682424
OZONE_acceleration,48077319.450256616,52954,15,0.06314012731923871
OZONE_above_site_p75,28564032.332797784,1787,16,0.037513252795005336
OZONE_rolling_max_12,21713350.799613256,13118,17,0.02851622656361631
OZONE_site_p25,17780518.735189743,27198,18,0.023351223187548103
hour_cos,17512809.043945394,8034,19,0.022999639027219628
OZONE_rolling_range_6,16590941.223383702,8747,20,0.021788946496368398
OZONE_expanding_std,15850748.722572668,28794,21,0.020816848857058246
OZONE_site_p75,15575470.88699139,16320,22,0.02045532542385707
LONGITUDE,13588562.964018758,28792,23,0.017845911657394964
OZONE_site_p50,10427011.33594207,16037,24,0.013693833825151281
LATITUDE,9954887.46542123,31724,25,0.013073791742189884
ELEVATION,8414433.284781937,26468,26,0.011050707381264695
OZONE_rolling_mean_6,8000257.738302501,9076,27,0.01050676905366546
OZONE_rolling_std_6,2156860.172589503,7032,28,0.0028326127052070815
OZONE_expanding_mean,1605109.8184134485,16574,29,0.0021079968570386744
OZONE_rolling_min_12,974450.5448765149,5776,30,0.0012797496235925502
OZONE_lag_6,641963.0799480255,6433,31,0.0008430925655933715
OZONE_rolling_max_24,620882.0952196463,2796,32,0.000815406827807138
OZONE_rolling_max_168,487463.11146276793,3025,33,0.0006401871666958574
OZONE_rolling_range_12,382065.33288080315,3693,34,0.000501767861399196
OZONE_diff_24,380098.4778139498,5271,35,0.0004991847831252897
year,342612.13871835324,8279,36,0.00044995383076994807
hour,236277.0679221563,3162,37,0.0003103035760272973
OZONE_rolling_range_168,97886.65696412098,3209,38,0.00012855492057879808
OZONE_diff_168,94043.19594719601,4891,39,0.00012350728854086264
OZONE_rolling_std_12,57258.286625090055,2621,40,7.519752658694353e-05
OZONE_rolling_range_24,55597.57583651645,2448,41,7.301650876336329e-05
OZONE_rolling_std_168,53873.01380120672,3503,42,7.075163485349309e-05
dayofyear_cos,29062.13467231812,3448,43,3.816741250055765e-05
OZONE_lag_168,19045.203526291065,3088,44,2.501213855558275e-05
OZONE_rolling_std_24,16135.727676081471,2511,45,2.1191112805497935e-05
hour_sin,15104.087170146406,1422,46,1.9836255387546022e-05
OZONE_rolling_mean_12,14017.801815560088,3414,47,1.8409632681083165e-05
dayofyear,11018.31458157394,2884,48,1.4470394636785219e-05
OZONE_rolling_min_24,8971.03228643816,2531,49,1.1781690976693653e-05
OZONE_lag_12,7763.593155077274,3226,50,1.019595655231009e-05
OZONE_rolling_min_168,7424.2432124653715,2391,51,9.75028697615036e-06
OZONE_rolling_mean_168,6025.111444030888,3288,52,7.912801879113125e-06
dayofyear_sin,5969.234722474124,2424,53,7.83941876720885e-06
OZONE_lag_24,5403.200577054406,3230,54,7.096043961427186e-06
OZONE_rolling_mean_24,4185.029253502376,2458,55,5.496214908035356e-06
OZONE_lag_48,3760.1219723139657,3256,56,4.9381825522409316e-06
day,2381.6883638885884,2487,57,3.1278804278234808e-06
week,2126.7604299224913,1004,58,2.7930825981627855e-06
month,1267.8495455943048,213,59,1.6650716522016093e-06
dayofweek_sin,1227.4696922842413,745,60,1.612040636573387e-06
dayofweek,1037.2204965762794,837,61,1.3621856409800468e-06
month_cos,842.3214486986399,317,62,1.1062239767669462e-06
dayofweek_cos,362.78901575505733,402,63,4.764522004704519e-07
is_rush_hour,260.8342733606696,147,64,3.4255464775347183e-07
month_sin,213.47094523906708,138,65,2.8035220797404475e-07
quarter,14.446373105049133,12,66,1.89724769929776e-08
is_weekend,13.577985987067223,22,67,1.7832020873153892e-08
